,Cx,Cy,bh,bw,wx,wy,wz
0,2305.6056638752257,1943.493929458622,0.07889461517333984,0.09903442859649658,4.52848,4.30038,16.8496
1,2148.1410987614286,1883.7952257956554,0.057393670082092285,0.05226778984069824,5.20654,5.95728,25.9767
2,572.9921032663965,1827.9807486708692,0.07338905334472656,0.11564239859580994,-11.7705,4.99817,24.3663
3,1007.8761928999675,1792.063283993644,0.03666210174560547,0.048361897468566895,-10.3742,6.6804,35.2435
4,1218.4115858155237,1777.427558782033,0.02445852756500244,0.028798997402191162,-13.8358,12.4864,68.1562
5,1595.4429316073588,1816.862917719909,0.031180739402770996,0.03440004587173462,-1.35196,6.87352,34.3153
6,1464.6185651197393,1781.0332149867827,0.02974390983581543,0.0350833535194397,-5.76607,11.0785,59.9595
7,1495.8729724632492,1774.6704405935543,0.02974390983581543,0.0350833535194397,-4.68079,10.3135,56.6654
8,2276.7801332314034,1923.7421285396297,0.05950641632080078,0.0725090503692627,5.83665,5.6181,22.7771
9,1926.8525587364506,1828.526025570442,0.03915393352508545,0.031133413314819336,4.27286,8.40435,40.9244
10,1844.551105387265,1810.3032386891464,0.028739333152770996,0.02614307403564453,4.19433,12.0562,61.0564
11,1713.1844952087115,1783.5211300858127,0.018619060516357422,0.019171953201293945,0.790304,12.5611,67.589
12,1266.6434113662865,1830.5616502390674,0.054019927978515625,0.05265462398529053,-4.87801,5.52565,26.7916
13,1992.5144934616817,1850.0217928944705,0.03708386421203613,0.029111504554748535,6.28151,10.147,47.2646
14,1810.597056298637,1794.0866290544996,0.02402675151824951,0.02033078670501709,2.54962,8.99731,47.248
15,2287.165997249662,1861.9182211958844,0.06367433071136475,0.07099056243896484,6.51586,5.49351,24.9882
16,1983.9543681195346,1779.4549971777951,0.036487579345703125,0.02236008644104004,6.13216,8.73791,47.4675
17,1910.2893151042315,1748.6344032342795,0.02854001522064209,0.020731329917907715,5.27328,9.25961,54.2399
18,1636.0371268048964,1708.513024502777,0.016719818115234375,0.025851428508758545,-1.87945,13.228,86.2792
19,1867.5298714330536,1740.6622524872319,0.022348642349243164,0.016683459281921387,7.83545,16.6594,99.6027
20,1857.0124357487732,1732.7187492578807,0.022348642349243164,0.016683459281921387,6.18643,13.6758,83.4839
21,1972.3790756311976,1793.28534903237,0.02587878704071045,0.027711868286132812,7.64194,11.6989,61.5473
22,1079.5731881409154,1798.9254824909283,0.041358232498168945,0.05588984489440918,-9.91711,7.25289,37.6723
23,1682.4251431320333,1946.9582942468714,0.10236752033233643,0.19771873950958252,-0.0278682,4.32436,16.8444
24,1441.8443396408522,1790.89310923964,0.02826857566833496,0.04784822463989258,-4.67159,8.3276,44.0515
25,1519.0062127453064,1787.825485113714,0.02666938304901123,0.03116440773010254,-3.81834,9.8772,52.6189
26,849.0864271798498,1829.3205498482153,0.04902315139770508,0.05145186185836792,-11.0473,6.25587,30.4115
27,1696.8119032350762,1868.664383288738,0.05068075656890869,0.057016611099243164,0.139551,6.77541,30.4144
28,1448.5577364049784,1806.9097282155874,0.02995884418487549,0.03904324769973755,-4.70862,8.94781,45.6548
29,1225.1545838929485,1919.259967861879,0.08414745330810547,0.07982486486434937,-3.37049,4.12244,16.8461
30,1969.5312809395268,1903.4598892357344,0.06909942626953125,0.06960630416870117,2.77473,5.36897,22.572
31,2153.9480680604115,1822.507969065194,0.029102444648742676,0.05622220039367676,9.32726,9.31816,45.9582
32,2090.2421976907995,1921.2663224373541,0.07430899143218994,0.08973753452301025,3.3077,4.63364,18.868
33,1492.402366497945,1799.6659764987112,0.02626478672027588,0.028757035732269287,-4.82926,11.0725,57.416
34,1349.67962739703,1784.536559799824,0.03268158435821533,0.034737586975097656,-6.40994,8.17634,43.8914
35,1019.1423937341345,1793.933847845935,0.025792598724365234,0.03638100624084473,-15.0979,9.9287,52.1572
